title,snippet,rating,date
《鱿鱼游戏》的空间与符号隐喻分析，人性外“浓缩”的社会规则,这篇剧评可能有剧透                        （首发于公众号：霧風誌，欢迎关注！） 巧用“反差”形成张力，空间隐喻造“楚门的世界” 相比较其他杀人游戏题材的作品，《鱿鱼游戏》的6局游戏设计显得十分“小儿科”，都是小孩子才会玩的：一二三木头人、扣糖饼、拔河、弹珠、过独木桥、鱿鱼游戏。 小儿科的游戏变成恐怖的...                         (展开),50,2021-09-19 15:40:14
我讨厌那些理智的评论,这个电视剧里设计的游戏就是你我身处真实世界的一个形态变化。 每一次，大家都在强调，人不是数字，人不是符号，人是真实的人。但我反而觉得，越强调什么，便是越害怕什么，越重申什么，便是越将要变成什么。 说到底，我们就是数字。非洲的角马过河的时候，被鳄鱼咬住脖子，这...                         (展开),50,2021-09-20 14:27:58
我赌马打架不工作啃老但我知道我是个好爸爸好儿子,这篇剧评可能有剧透                        圣父，是众生之父。 这部片子我原本是带着“哇！网飞+韩国这种组合，这演人性不是底线击飞！期待期待！！” 谁知道看完有点觉得“啊，这！这还有必要拍第二部吗？” 男主因为一次罢工事件让他十年啃老，可以理解但是我不接受；罢工那天老婆生产昏迷不去陪着，竟然是陪着昏迷同...                         (展开),30,2021-09-19 19:41:11
男主不是圣父，而是伪善，坏而不自知！！,这篇剧评可能有剧透                        看完我最大的疑问就是这样的人怎么能当男主?如果这部剧男主的突出点在于最后所谓的“相信人”，通观九集，根本没有立论点。 首先，男主并不是他自己认为的那么善良。没参加游戏前，虽然也有喂猫的细节之处妄图来凸现男主善良的品格，但是相较于男主对自己母亲，女儿的做法，根...                         (展开),,2021-09-19 23:42:05
发现,为了公平起见，我们不能事先公布游戏内容”——□ 这是□（管理员）的一句话。 可现实是：第一个游戏：一二三木头人。这个“一二三木头人”也是第一次来的时候的暗号。 六个游戏，其实都在宿舍的墙上，前期人多了被床挡着不容易被看到，后期人少了但是已经没有人有心思再去关注...                         (展开),,2021-09-24 13:02:41
前8集有多精彩，第9集就有多拉胯,整个剧看起来还是非常爽的，说几个不完美的地方 1.获胜者之一的哥哥，把肾都可以给弟弟，在紧要关头尽然可以无情射杀亲弟，这一点情感无法解释 2.那个看上弟弟的肥老外，被反玩弄了，事后也不出来，也不声张，其他几个vip也不找他 3. 456对朝鲜女的情感迸发得有点过于饱满了，...                         (展开),40,2021-09-23 01:53:35
什么都想搭上一点，结果化了一个底气不足的妆,这篇剧评可能有剧透                        最近都在讨论这个，但似乎过誉了吧，4星5星毫不手软地往外甩，这是剧荒成什么样啊？怎么我全程看得心无波澜～ 想表达的太多，借鉴的也太多，好多眼熟的桥段，比如《饥饿游戏》《大逃杀》《移动迷宫》，故事过于拖沓，9集的容量其实可以再缩减一下。 导演着重在讲什么呢？人类的...                         (展开),30,2021-09-22 23:03:40
关于鱿鱼游戏抄袭的几句话,这篇剧评可能有剧透                        0. 不是为了黑这部大热剧，也不是看不起韩剧，只是实事求是。 1. 《鱿鱼游戏》这种“被邀请去玩游戏，输了就死，赢了得大奖”的思路，来自于福本伸行的漫画《赌博默示录》（1996年开始连载）； 2. “把童年游戏变成恐怖的杀人活动”，这个思路来自于金城宗幸的漫画《诚如神之所...                         (展开),40,2021-10-05 16:18:13
第二集彩蛋揭露了主角们的结局,这篇剧评可能有剧透                        这个彩蛋是外网一篇文章揭露的，个人觉得很牛逼，在这边分享一下！ 原文网址： Massive 'Squid Game' Episode 2 Easter eg... inverse.com ________________________________________ 阿里：趁黑心老板受伤的时候偷走了老板的钱，结果因为自己的弹珠被偷走而死亡。 晓：拿刀抵...                         (展开),50,2021-10-17 19:34:59
《鱿鱼游戏》：普通人与恶的距离，究竟有多远？,最近，韩剧《鱿鱼游戏》成了爆款。为何这部剧会爆火呢？ 它虚构了一个封闭环境中的比赛系统，乍看是对“一二三木头人”、拔河、打弹珠等童年游戏的复刻，实际上这个比赛系统却借此进行了残酷的杀戮竞赛。 于是我们看到，每一个像主角成奇勋这样的小人物刚开始都是抱着半好奇半...                         (展开),,2021-10-11 11:45:51
《鱿鱼游戏》与拉康欲望理论,当代左翼哲学家代表人物齐泽克，曾说自己最爱看好莱坞大片，因为他觉得流行的爆米花电影能最好地折射出资本主义意识形态的问题。网飞作为近年流媒体经济的领头羊，制作了许多具有极强话题度的电影。这段时间的《鱿鱼游戏》把大逃杀这个已经拍烂的题材搬上台面，套上了韩国文化...                         (展开),20,2021-10-05 10:02:50
《鱿鱼游戏》琢磨透了的，不是人性而是观众,这篇剧评可能有剧透                        来个技术篇，《鱿鱼游戏》编剧分析。 编剧深知你们观众老爷： 1， 要有感官满足。要给你们看暴力，看色情。男人干仗，女人撕逼，或者男人女人床上运动，这一点毋庸多说。 2， 要有道德满足。人群中精英是少数，大多数观众是屌丝，并且自我认同也是屌丝，所以不能让有钱人获胜，...                         (展开),50,2021-11-15 10:14:11
如果拍中国版，我推荐几款游戏,第一关丢手绢，反应慢的射杀； 第二关先在《步辇图》《簪花仕女图》《捣练图》《清明上河图》里挑一副，然后限时拼图； 第三关十人组队打陀螺，限时内陀螺全部倒地的队伍爆头； 第四关用高压电线做长绳，挨个跳大绳，碰到绳子的就电死； 第五关两两组队，隔一定距离扔沙包，两...                         (展开),40,2021-10-03 09:13:35
一切从摧毁人的尊严开始：《鱿鱼游戏》中的人性隐喻,这篇剧评可能有剧透                        一、一切从摧毁人的尊严开始。 游戏组织者（黑衣人为首，成员是红衣人）瞄准经济上陷入绝境的人挑选游戏参加者（绿衣人），其遴选程序是通过打卡牌游戏，也就是成奇勋在地铁站遇到的那一幕。规则很简单，赢一局就获得10万韩元。输了，要么支付10万韩元，或退出，要么被扇一耳光...                         (展开),40,2021-11-20 18:29:35
一夜火遍全球，网飞终于憋出现象级爆款,网飞出息了！ 沉寂好久的网飞终于打造出一部现象级爆款。 播出当天就“破圈”冲上微博热搜，整个小长假都在持续热议。 截至9月23日，它已经达到Netflix TV show（网飞电视节目）世界榜第2名，美国区榜首。 韩媒称它书写韩剧新历史，打造了一部世界爆款。 烂番茄新鲜度100%。 既...                         (展开),40,2021-09-25 20:02:32
《鱿鱼游戏》中的色彩及符号象征（严重剧透，慎入）,这篇剧评可能有剧透                        阅读指引： 1. 整体评价 2. 色彩 2.1 游戏之前 2.2 123 木头人 2.3 抠糖饼 2.4 拔河 2.5 抓住违背规则的人 2.6 玩弹珠的色调 3. 象征 3.1 五个面具 3.2 生存游戏的偏向性 3.3 重点刻画的女性角色 3.4 平等 3.5 图形象征 3.6 符号化的人 3.7 小猪存钱罐 3.8 最后的晚餐 3.9 最后...                         (展开),30,2021-10-01 13:06:52
还相信人吗？对《鱿鱼游戏》的三个猜想,最近刷屏的韩剧《鱿鱼游戏》可谓是大火一把。据Netflix透露，自9月17日上线以来，《鱿鱼游戏》已登顶TV SHOWS总排名Top1，成为第一部登上榜首的韩剧。 同时，该剧在国内也是热度不减。有人魔改中国版，有人挑战挖椪糖，有人卖起面罩和运动服周边。最搞笑的是，还有人将吴京的表...                         (展开),40,2021-10-06 11:37:06
鱿鱼游戏——一场成功的引诱,这篇剧评可能有剧透                        我从不在一部影视作品刚上线时抢“鲜”观看 ，只当它已经达到相当热度，风头都快过去时，才懒懒撸一遍，看看要不要写点什么。结果就是，如果我找不出一个特别的角度，就无法让自己的影评获得多少阅读量。 如果我是鱿鱼游戏的参与者，恐怕会在第一局“一二三木头人”里发一会儿...                         (展开),50,2021-10-22 09:57:06
下行的疫情时代，上行的《鱿鱼游戏》,这篇剧评可能有剧透                        （原载于 虹膜公众号 ） 《鱿鱼游戏》火了一个月，具备天时地利与人和之余，托赖的还是具备普世性的话题，不只是让每个人都能说上几句，而且要让每个人都说得切身，说得顿挫 能让人说上几句，就一定要足够通俗。剧中七个残酷关卡都来源于孩童游戏，即便不够熟悉，也没有看剧门...                         (展开),30,2021-10-19 18:03:44
怎么把观众当狗玩弄，还让他们叫好？,这篇剧评可能有剧透                        要这么跟穷人过不去，干嘛呢？如此公然地消费穷人的苦难，我看已经不是创作态度的问题了，而是创作伦理。要能稍微探讨一下贫穷背后的根源，倒也算了，至少还是有些价值的。但像现在这样，把贫困当做游戏娱乐大众，就属实过分了。 那些喊“好”的观众，跟鲁迅笔下的看客有什么本...                         (展开),20,2021-09-29 18:53:07
对导演构思意图的个人猜测,这类型的剧不少，但作品本身的戏剧张力和故事完整性，以及导演部署剧情的意图个人感觉是有很强水准的。导演对于人性的理解和人最终如何更好活下去有深刻反省。 1、玩玻璃球游戏中的夫妻，活下来的丈夫选择自杀是导演对人与“非人”设置的一条分界线：如果夫妻间在面对二选一生...                         (展开),50,2021-10-03 13:33:20
你在《鱿鱼游戏》中能活几集？,《鱿鱼游戏》在全球已成爆款，每个同事和朋友都在看。由于每个人看的进度不一样，我在周一例行线上聊天的时候无法剧透，只能说，第二集不是很好看，但第六集第七集特别棒之类。但不管怎么说，讨论的结果就是，韩国人继《寄生虫》之后再次扬眉吐气文化输出，用纯韩语、纯韩国人...                         (展开),40,2021-10-05 13:28:22
为何IMDB的评分比豆瓣高？,这篇剧评可能有剧透                        我看了十几年的中外影视剧，发现热门剧在豆瓣的评分，大部分要比IMDB高一点。大概是因为IMDB用户分散在世界各地，口味庞杂，更难获得一致好评。比如说，这两年我看过的《后翼弃兵》，在豆瓣是9.0分，在IMDB是8.6分；《东城梦魇》，在豆瓣是8.9分，在IMDB是8.5分；《无罪之最》...                         (展开),40,2021-10-15 13:49:25
《鱿鱼游戏》最大的问题是“游戏设计低幼、无逻辑”……吗？,1.因为我对任何大逃杀影视作品的预期非常低，所以观感比预期好一点； 2.即便比预期好，但我还是非常讨厌Netflix这套批量生产模式产出的所谓原创剧，全是类型化的剧本，剧集多样性和艺术可能性远不如HBO（此处单指有线台HBO，不包括流媒体HBOmax） 3.真正细思恐极的不是大boss在...                         (展开),40,2021-10-14 12:49:36
噱头大于内容，消磨时间可以,感觉这部剧只能算是此类题材的中级版本吧。视觉上不够抓人，人物刻画也不够深刻。作为一部短剧，既没能在视觉上把人打蒙，也没能在剧情上产生共情。剧情转折有点牵强，也许是外国人看外国人思维不一样造成的吧。消磨时间可以看看，内容感觉一般，预告感觉挺新颖的，实际有点失...                         (展开),,2021-09-22 22:46:20
解密《鱿鱼游戏》红衣人组织,这是个原创作品，从这个角度来分析应该是全网第一人了吧（在百家号和今日头条的“爱智慧爱读书”账号首发） 笔者有个爱好就是喜欢研究历史，尤其喜欢轴心时代，在那个时代里中外文明仿佛约定好一样，空前发达，百家争鸣百花齐放。在西方世界的古希腊哲学尤为引人注目。接下来我...                         (展开),,2021-10-08 14:50:46
他们的结局仿佛早已注定,这篇剧评可能有剧透                        含剧透，请慎点。（以下观点仅个人理解） 《鱿鱼游戏》中的参与者都是些什么样的人呢？ 首先，无一例外，他们都背负着巨额债务。 其次，456位参赛者在受邀来到这里前，都和神秘男子进行了打画片的游戏，这无不说明每一位参赛者都有一定程度的赌徒心理，在经济如此困难的情况下...                         (展开),,2021-10-07 16:45:54
观《鱿鱼游戏》的一些疑问和一点感受,这篇剧评可能有剧透                        一、剧中的一些疑问 1、男主圣人人设很突然。男主成奇勋，一个败家、啃老、不靠谱的中年男人，经过9集锻造，成为了一个追求正义、打击邪恶的平民英雄。他的善良、同情心虽然在第一集就有所刻画，表现在用身体挨揍换来的钱去救济路边的野猫。但经过一系列的猜忌、背叛、不择手段...                         (展开),40,2021-10-07 17:38:06
高开低走、定位暧昧的二流生存游戏片,这篇剧评可能有剧透                        事先声明：笔者是多年大逃杀/生存游戏迷，高中时候扫过能找到的所有生存游戏漫画的那种。偏好智斗、博弈成分高，尤其是关卡存在（最佳）解法的生存游戏作品，如《弥留之国的爱丽丝》《欺诈游戏》，国产漫画如《端脑》。在视觉风格、人物塑造等软实力方面，比较欣赏《饥饿游戏》...                         (展开),30,2021-09-27 20:32:57
鱿鱼最好吃的部位是鱿鱼须（输）！,关于生存总是有说不完的话，每次江边散步，听到最多的就是钱、工作、房子、结婚、小孩读书等等。因为生存是个现实的难题，否则古人就不会曰“天地不仁以万物为刍狗”和“天下无道已久矣”。3000年前是这样说，1000年前古人换了花样，用戏曲和反讽的方式说：“清平世界荡荡乾坤...                         (展开),40,2021-10-27 04:54:46
《鱿鱼游戏》不过瘾？这8部同类型R级片更劲爆,这篇剧评可能有剧透                        万万没想到，《鱿鱼游戏》会这么火：10月12日，奈飞宣布《鱿鱼游戏》为其史上开播观看量最高的剧集，同时也是第一部开播观看量破亿的Netflix剧集。 剧中简单的剧情、看似低幼的游戏、鲜明整洁的摄影风格，与血浆四溅的残酷画面形成了强烈反差，给观众带来了强烈的视觉与情感冲...                         (展开),30,2021-10-20 09:15:10
过誉了，同类型影片还是日本拍的首屈一指,要说这剧能不能看，结论是能看，但过誉了。近年不管 Netflix 出什么剧都有各种 UP 主追热度出来猛吹，形成这剧很火很好看的感觉，但影片质量跟热度并不匹配。 全剧最精华的是玩弹珠游戏那一集，虐心和催泪，人性的黑暗也有体现。 但综合全剧来看，整体缺乏特色和亮点，甚至是平...                         (展开),20,2021-10-16 15:09:09
一些微詞,这篇剧评可能有剧透                        老婆出產時即便有原因趕不回去也沒理由生氣。 騙母親的錢也不給女兒買禮物，而是先去賽馬，每年答應的從來做不到，直到最後有了錢，還要為了“證明自己不是一匹馬”而背叛跟女兒的約定。 被問到“有錢了做什麼”，回答的頭頭是道，卻沒有一句給母親治病。說要對女兒盡身為人父...                         (展开),30,2021-09-28 12:32:01
别拿性命当儿戏？,曾经，富人拿穷人来赚钱；如今，富人拿穷人来取乐。 剧中有句台词，很是刺眼： “你知道，身无分文的人与家财万贯的人的共同点是什么吗？就是人生毫无乐趣可言。” 于是，赚够了钱的富人，在榨取完穷人的剩余价值后，开始榨取他们的快乐价值，把穷人的“人生毫无乐趣”转变为富...                         (展开),40,2021-10-10 12:38:57
孩童和成年人的交友方式,这篇剧评可能有剧透                        剧情紧张刺激，很值得推荐。开头就是描述小时候和小伙伴一起玩游戏的场景，看完后去回顾这一幕，有种说不出的难受。 我印象中第一次交朋友的场景是我大大方方地伸出手，跟别人说“我们可以一起玩吗？“长大后，”朋友“这个概念变得千奇百怪：是为了某一个利益的合作伙伴？是为...                         (展开),50,2021-09-21 15:10:37
【这不是影评】人性？,这篇剧评可能有剧透                        这不是影评，只是个人观后感 电影把玩家的共同属性设定成债务，应该是有原因的。这片子应该也是在反思社会问题的。 这部剧集把债务放在核心位置，如果没有债务，这群人不会被聚集起来玩生死游戏。虽然他们在经历第一场生死游戏后，都不想再参加游戏了，毕竟输了就得死。但是看...                         (展开),40,2021-10-07 17:39:34
对不起！好久没见这么恶心的男主了,这篇剧评可能有剧透                        对于这部剧的男主角我想狠狠吐槽一下！好久没见这么恶心的角色了！！ 一直看到456过完玻璃桥对金融男的那番控诉，我狠狠醒悟了，这男的就一圣男傻逼！ 一宗罪之装善良，你骗老爷爷的时候不是挺心安理得的吗？等于你也亲手把人推到枪口了哦，杀人了哦～ 二宗罪之装圣人，要是没...                         (展开),20,2021-10-03 21:03:11
现实就是地狱，大逃杀只是游戏。,犹豫了很久还是给了5星。其实论拍的水平最多也就4星的。但这个还是和同类的有些不同，所以还是想给高一点。 一般这类题材的boss要么就是大魔王，要么就是人性之恶。但这部不同。男主最后选择了放弃，男二成全了男主，丈夫为了妻子自杀，新加入的妹子直接放弃了，就连老头也是留...                         (展开),,2021-09-19 19:47:24
鱿鱼游戏：第一季,《鱿鱼游戏》的游戏环节均为韩国传统儿童游戏，如“一二三木头人”“抠糖饼”等，看似简单却暗藏杀机，每一个细微失误都可能导致死亡，让观众仿佛置身其中，心跳加速。 剧中不同背景的人物在游戏过程中展现出了复杂的人性。例如，成奇勋善良正直，即使身处绝境也坚守内心底线；...                         (展开),40,2025-01-03 20:20:40
