name,rating,time,comment,title
晚不安,2,2018-12-07 03:37:47,"即便已经降低期待值，内心还是毫无波动，甚至翻了十几个白眼，感觉这届观众对DC特别宽容。充其量跟过誉的《神奇女侠》打个平手，说《蝙蝠侠》以后DC最佳我已经大跌眼镜，还拿它跟《指环王》相提并论，How dare u?搞几场模式化的大阵仗、扯个宏大世界观就叫史诗感？
不过黑豹+雷神mix而已，核心故事是一个武夫捡了黄金装备以后，轻松打败白银装备然后靠血统称王，没看到一点人物弧光，价值观也是陈腐的。叙事处处落入窠臼，三条故事线基本上各自为政，而爱情和亲情的情感线也是羸弱不堪的，你所谓的叙事效率高在我这只觉得冗长。
发完这条肯定有人觉得我是对面漫威派来的黑粉，但是我要告诉大家，我爱《蝙蝠侠》，我也爱渣导的MoS和BVS，那里面有人性的挣扎和纠缠，但是《海王》没有。21世纪的超英片绝不能止步于视觉奇观。",Aquaman
正义B胜,2,2018-12-07 02:16:11,太傻了，太傻了，真的太傻了。DC拍来拍去，依然只知道毁东西。你告诉我：水下战斗和超人砸楼，有啥区别？？？海王完全是个纸片人设，毫无辨识度。没错，选个好的IMAX厅，是能爽到，但依然，太傻了，太傻了，真的太傻了。,Aquaman
frozenmoon,2,2018-12-10 10:34:58,实在太难看了，我真是受不了这种题材。我坐在影院里都开始有哲学疑问了，我这么大岁数，去看这个干什么？这帮演员这么大岁数，演这个干什么？到最后那一幕，海神都耍起金箍棒了我的天啊。,Aquaman
伯樵·阿苏勒,2,2018-12-04 16:56:08,《啊，垮男》…,Aquaman
西楼尘,2,2018-12-07 23:19:49,观众如同许愿池边的小女孩，被导演变出来的特效技法唬住。开头水族馆里小海王召唤众鱼热泪盈眶，从五分钟以后沦为空洞游戏资料片。满脸写着赶进度呢，特别着急。谈恋爱很敷衍，见到生母也没空寒暄，三叉戟的守护怪兽竟然因为语言相通就顶礼膜拜，万一人家就是个翻译呢？好一出王子上位戏码，无聊透顶。,Aquaman
解嗨的咸鱼桑,2,2018-12-07 02:20:45,非常无聊，看出来了，你们都在演戏，反派最可怜，只能配合演出，实在让人心疼。人物内在动机毫无说服力，设定一塌糊涂，最后还不是大家屈服于淫威和权力之下。不值票钱,Aquaman
麻辣小龙虾,1,2018-12-07 02:44:37,陪女朋友熬夜看的首映，看得直打瞌睡😪，什么鬼,Aquaman
J. F. Miller,1,2018-12-08 01:01:57,短评那家伙给吹的，海王要是不拿他十几二十个奥斯卡都对不起这波吹,Aquaman
Virgil,2,2018-12-07 20:31:55,你们真的不觉得好几场戏演得好尬吗……而且各种电子游戏质感……疯狂出戏……看在豆瓣友邻均分也上了八分才去看的……WTF……我选择死亡……你们怎么集体失灵了……什么迷魂汤劲儿这么大啊……（然后看完隔了一天再看友邻评分：7.2，恢复了正常……更新：友邻分已降至7.0（二次更新：已降到6.7,Aquaman
陽 Edward,2,2018-12-07 02:41:17,啊？看的是同一部电影吗？人生首次放弃睡眠帝都大冷天首映就给我看这个？温导您可能自己都不知道剪辑出来是什么吧，典型的情绪不够音乐来凑，雷同冗繁的弦乐铺排造成的听觉疲劳比毫无意义的大场面所带来的视觉污染更超前。这个题材要么可以往指环王方向借鉴，亚特兰王放逐千年守卫三叉戟，闻者伤心见者泪下，然后就被这个邋遢小哥直接拔走了，就因为他懂海底生物语言吗？这之间有任何逻辑关联吗；要么或者往人类污染上靠，直接挂靠一福岛核泄漏事件，闻者惊心见者反思，结果开头叽叽喳喳营造的污染大阴谋到片末的反思效果可能有半个《美人鱼》吧……砸了，彻底砸了，DC十年之内不要想赶超漫威。温子仁不是神，中小成本导演只能在细节上做点功夫救不了整个系列就像冯小刚救不了春晚一样。评论里尬夸太多请大家擦亮明亮的双眼，140分钟做点什么不好。,Aquaman
扭腰客,2,2018-12-08 03:08:16,超级英雄的外衣下，还是古希腊神话延续至今的烂梗：“半人半神”的混血王子，半道上杀出来逼宫夺嫡。这个视效炫酷，还担不起五星级好评。未来几年，真正能在视效语言上革新换代的，可能还得看詹姆斯-卡梅隆。,Aquaman
麦提爽,2,2018-12-07 02:28:57,DC的玩意真是无论谁搞都显得那么二流，剧本人物台词极其弱蠢差。温子仁把魔科奇幻的电影或游戏元素弄了个大杂烩，从开头到结尾每一处都能说出借鉴（还是抄袭？）的来源出处。漫威的英雄从不需要人鼓励，也更不会说我不行。这就是两者气质上最大的差异。,Aquaman
安东,2,2018-12-12 18:03:02,看一堆海鲜乒乒乓乓打了两个多小时，然后陷入了深深的思考：关我毛事？我为什么要坐在这里看这些？我没有更好的事可做了吗？我的生活出了什么问题？,Aquaman
Sebastian,1,2018-12-07 22:52:56,真不敢相信我生日这天看了这么个玩意儿 罪过,Aquaman
草威,2,2018-12-07 23:36:51,很难看。从概念设计到人物设定全是小儿科，情节推进也不连贯，最关键是审美令人发指，别说比肩《指环王》了，连《西游记》东海龙宫那段都比不了。另外现在谁都能看点映是吗？还写进影史，说这话得多没见识……温子仁就算有上百亿票房，也是个小导演。（看出温导演是华裔了，把春晚搬海里去了都,Aquaman
北落師門Hiruma,2,2018-12-07 22:18:15,我真的是dc粉，但这剧情真的跟雷神没多大区别，到底哪来脸吹仅次于黑暗骑士和海底阿凡达？还有吹像指环王的，这部一看就是特效团队堆出来的爆米花毫无人性光辉的电影到底哪一点像指环王？可能我自带杰克苏/玛丽苏免疫，对男主这种血统流和装备流玩家毫无好感，这些年大家看更加无脑的复联看太多，才会对这部如此拍案叫好，还说是dc翻身之作，可见之前dc的那些拍得到底有多差。,Aquaman
路上耽搁了一下,2,2018-12-07 02:32:34,文戏太尬！台词和剧情发展都没有达到可以接受的基本水平。特效真的不错，好到让我感到很可惜，因为宏大的场景只会让我觉得“这他妈是想干什么”。喜欢一门心思看海底世界和星球大战的强烈推荐，对超级英雄的剧情稍微有点要求的强烈不推荐。,Aquaman
汽车大师,2,2018-12-07 22:12:48,2018老明星美颜爆发年,Aquaman
Peter Cat,2,2018-12-23 08:35:44,作为粗糙影像消费品，量大口味重，一开始卖得好是很自然而然；时间久了，食客还没有吃厌，那可能就真是没吃精致料理的命了。,Aquaman
南悠一,2,2018-12-08 00:31:25,我爸爸是灯塔守卫者美国，我妈妈是拥有智慧的英国女王，我爸爸和我妈妈的爱情拯救全人类。,Aquaman
匡轶歌,2,2019-02-01 23:25:39,我特猫的为啥要看这种玩意儿？是生命活该浪费，还是单位时间的价格太低？是美剧都追完了？还是日剧不够追了？是家里成堆成堆的漫画都读完了？ 还是颁奖季攒的提名片都打卡了？,Aquaman
Morning,2,2018-12-09 02:31:15,DC确实找到了好的执行导演，将有限的预算炮制出还算可以吃的下的菜，也是一定意义上的胜利。最喜欢的是开头妮可在屋内战斗的戏，运用了游戏视角的镜头，在小空间里玩出不同的效果。温子仁的故事一直不行，它的恐怖片宇宙也是全靠技术镜头打开视觉格局（航拍、大摇臂、高速的反复运用），所以找他处理商业大片是对的路子，大有物美价廉的趋势。可惜的是，在这部电影里严重的审美不足，以及概念设定的陈旧，几乎没有任何一个场景可以说的充满创意或者设计感或者实感的美的，同样是原始部落套上科幻的概念，明显《黑豹》要结合的更好，具有原始与科幻的双重仪式感。故事层面，是许许多多电影都表达过的主题，它除了模仿其它电影的场面之外，完全无法钻研更深更广更真的故事，急匆匆的给人物和场景一个年代影片的亮相。,Aquaman
戴莫卡,1,2018-12-09 10:41:23,1. 剧情没有一丝新意。别说这是超级英雄片就允许剧情烂，DC的蝙蝠侠和Marvel的复仇者联盟3可是剧情片良心代表。本来人类对环境污染这个主题可以深挖一下，但在打打杀杀的荷尔蒙充斥中显得特别一笔掠过 2. 音乐和台词俗不可耐，为了让人哭而铺垫的音乐，和没有营养的台词，加以笑不出来的笑点，让我在电影院坐立难耐 3. 唯一值得称颂的是DC的选角，太服气了,Aquaman
米粒,2,2018-12-31 09:01:34,怎么说呢。感觉就像荒野之息这种游戏时长至少200小时的游戏，拍了一个“三心一树枝直接干掉盖侬”的视频…😓,Aquaman
小溪笑嘻嘻,2,2018-12-13 22:35:38,？？？还能和诺兰的蝙蝠侠比上了？？什么情况？整个故事套路得不行，情感假大空，主题毫无新意，英雄背景乐和光彩诡异地铺满了整个后半段。唯一精彩的看点是意大利小镇的打戏和水中虾兵蟹将的升级版概念设计。,Aquaman
Futurismus,2,2019-01-29 22:35:47,挺无聊的：1，我们也有龙宫传奇，有龙王，东海龙宫，三太子，为什么就不能拍出自己的海底宇宙；2，故事情节老套，与黑豹、雷神系列重复，都是兄弟俩争夺王位；3，意义低，太过于借重外物，黑豹之于战服和植物液，雷神之于锤子，海王之于三叉戟，在这里物（武器）的意义大于人本身，可是难道不是应该凭借自己本身的实力，武器只是外物作为凭藉。它可以快速让人实力提升，但是最终大宗师是要达到片叶飞花皆可伤人的境界，这里的所指意义层次没有我国古代典籍小说三层次明确有理。4，DC一贯的臃肿。,Aquaman
lwx,1,2018-12-07 09:04:10,1星给特效。男主完全没有吸引我的地方……眉拉很漂亮。,Aquaman
牛腩羊耳朵,2,2018-12-25 23:25:09,把台词写好一点可以吗，要求不高，不尴尬就可以了,Aquaman
丁丁虫,2,2018-12-12 16:25:03,蠢,Aquaman
嘻嘻嘻嘻嘻嘻嘻,1,2018-12-07 16:42:39,呃，怎么说呢。本来不应该对这种类型的电影有期待，但是真的硬伤太多，剧情很傻。一言难尽的不好看啊。,Aquaman
喂喂,2,2018-12-12 21:16:13,我真实地在电影院睡着了……,Aquaman
琼斯黄,2,2018-12-08 01:12:45,为了不断变化的视觉奇观牺牲掉人物塑造和有序的节奏感，奉献出超英史上最烂文戏之一，海王兄弟可萌可猛还没有正义联盟里来得立体。兄弟阋墙，彩虹桥，踩着神兽们降临的海武神分分钟穿越到雷神。睡在鲸的肚子里，召唤鱼群才应该是大海之主的超能力啊为什么要给我看“亚瑟王与金箍棒”？海底异世界的美术设定完全无感，花哨却毫无想象力，音乐更是各种风格随意衔接，开篇灯塔上唱起歌，就觉得这片子可能不会好了……,Aquaman
海中月,2,2018-12-09 13:51:42,特效满分，剧情就…………嗯…………基本上可以概括为：做女人，要多看外面的世界，才能选对男人，眼界低的只能和250过,Aquaman
猪头妖怪,2,2018-12-08 18:48:18,DCEU的电影水准之稳定，就仿佛有一套ISO标准一样，这点你不得不服：故事一如既往不会说，梗一如既往不好笑。一部电影，几乎啥都没有，除了秀颜值就是毫无节制地填塞特效。我呸。,Aquaman
然潘,2,2018-12-31 10:31:50,快进个几分钟完全不影响剧情系列,Aquaman
坦克手贝吉塔,2,2019-05-28 16:14:46,没办法看，情节线太无趣了，演员说那些台词时是怎么保持住不笑场的呢。,Aquaman
烤芬,2,2018-12-16 03:12:16,除了海沟那段没有能看的地方，不知各位都是怎么吹出口的。,Aquaman
水怪,2,2018-12-12 18:28:45,海王居然是个美帝版的无名之辈的故事啊，观众大概是返璞归真都更喜欢这种有点傻屌型的超级英雄，星爵大概也是类似吧。超级英雄如蝙蝠侠大概是极其之古典了。,Aquaman
偏时差,2,2018-12-31 22:04:03,lowlow的 看得頭好痛 但是特別想吃海鮮拼盤，尤其是阿拉斯加長腳蟹⋯⋯⋯⋯,Aquaman
长路的标点,2,2019-08-15 16:16:49,一个孙悟空下龙宫取金箍棒的故事,Aquaman
萨罗迈拉,2,2018-12-08 19:21:20,我一个重度深海恐惧症为什么要来看这种片子？心跳真的是每分钟一百二十击了。剧情神烂，居然没有一个好情节，还能八分多？服了服了,Aquaman
叉叉小箭猪,2,2018-12-16 09:37:12,毫无剧情，而且水下世界的描绘也没什么创新之处，就跟陆地的翻版一样。缺乏人物和想象力，只有妮可的打戏尚可一看。,Aquaman
#瞬间收藏家#,2,2020-03-20 19:06:10,春晚画风环保宣传、旅游风光、历史科普、复仇爱情亲情、动作冒险片……元素太混杂，谍影重重、美队2、蜘蛛侠、角斗士、魔戒、星球大战……一路串戏N部电影。另外想采访一下国王你打算怎么解决你弟弟提出的环保诉求😂,Aquaman
橙步堂,1,2018-12-07 23:32:53,太好笑了加一颗星！今年看的最国产页游审美的片子了，一会贪玩蓝月，一会女神联盟，一会开局一条鲲，一会86版西游记，一会又是垃圾科幻游戏…一本正经地叙事，莫名其妙的好笑。我和同事在后半段都爆笑到抽筋，同事说“这部片，真是处处有惊喜呢”,Aquaman
crusader,2,2018-12-16 22:10:22,象山海鲜城宣传片，从我所知的电影专业角度基本零分，两分给特效和演员的颜值，高级春晚水平。,Aquaman
豆瓣浅度用户,2,2018-12-20 05:39:43,从此拉黑DC。,Aquaman
Ceci,2,2018-12-07 21:33:01,不好看好吗，骗了我爆米花，中间还睡着了。故事情节真的是让人无力吐槽，人类污染了海洋的确值得吐槽，但你自己造那么多机械真的大丈夫?而且那个海王实在太像徐锦江了，男二也不帅，整部戏就打打打的，估计男生喜欢…看到那些螃蟹兵的时候莫名想要吃海鲜，温子仁很爱用密恐这一招…＃我真的很多OS＃,Aquaman
Scallet,1,2018-12-08 22:57:07,太难看了。跟环太平洋二一样难看吧。,Aquaman
海心,2,2018-12-26 09:02:10,实在无感，特效也没被击中，这就是阅片太多的坏处,Aquaman
孔府小鱼,2,2022-05-05 16:26:06,？是因为这片子这几年被严重吹捧导致预期出现落差吗？太扯了，本身剧本就很一般，先有正联再讲个人导致起源故事都很稀碎，角色的脸谱化也很严重，杰森莫玛为什么演啥像拍男士单品广告一样？秀肌肉凹造型，几个表情来回用。,Aquaman
huo！,2,2019-06-06 03:09:05,除了特效一无是处，哦媚拉身材不错,Aquaman
ChrisKirk,1,2018-12-25 21:23:19,一方面献礼改革开放，从破除文♂革♂时期的大一统到实现某种意义上的伟大飞跃，用海洋陆地全球命运共同体的红线连通，尤其是妮可最后圣母般的出场和自带高光的演讲词，瘆得头皮发麻不说，用两个多小时的体量也没能容纳完全，况且还夹杂着温子仁不少私货，再有，宣战理由并未不正当，转折点（拿武器称王）又显得轻巧，逻辑链断层，不知续集会做何解（其实一定程度属于无解）。一方面亚特兰蒂斯内部社会阶级过于鲜明，精英贵族似是享有不老特权，上层贵族能够在水陆两地生存，一般市民和低等动物一样只能依赖水源，甚至将军也只能把头伸进马桶保命，对贵族身份和“杂种”身份的对比强调更是过于封建化，包括角斗和献祭等，科技与思想的落差稍跳戏《黑豹》，于是乎开放的命题也呼之欲出。女主某些角度可太像斯嘉丽，配乐也太乱。,Aquaman
Joanna,2,2018-12-08 17:37:22,大部分时间觉得好蠢- - 最后点题不错,Aquaman
吴松张,1,2018-12-09 22:21:00,送上对DC的赞美———好烂啊！,Aquaman
HenriqueZZZ,2,2018-12-10 22:13:42,太无聊了吧，无人物，剧情烂，网游也可以大肆以电影的身份上映了,Aquaman
MsPancake,1,2018-12-27 02:50:34,作为一部之前并未铺垫过的独立英雄电影，难道不应该多花点笔墨塑造这个英雄如何长大，如何认知自我身份，如何与人类(陆地)世界的交往沟通and与海底世界(根源)的联系？人物刻画基本没有，动机生硬，没有情感共鸣，配乐乱穿，桥段老套还不好好写。所谓炫酷的海底世界还不如千星之城，一星给今年本来还挺期待的海王。左转看看你家的wonder woman→,Aquaman
艾米夏,2,2018-12-15 18:10:31,卧槽太难看了自杀了 中间睡着两次。。。。弟弟也太惨了 这么努力 全片最努力的人 妈妈再爱我一次 我的未婚妻被抢了 我的岳父看到三叉戟就不记得我是谁了 我的大臣从来都看不起我 我自杀,Aquaman
夏苍苍,2,2019-04-13 21:05:35,纹身师傅真是厉害，竟然能给刀枪不入的海王纹身。。。,Aquaman
