name,rating,time,comment
匡轶歌,2,2022-05-19 00:07:32,苍天大地啊。大山临盆，生个耗子。如果真有平行宇宙，就让女性的灵魂放过彼此吧，不必在千千万万个时空里，在生生世世里，都绑定做母女。变成石头的那天，就彻底解绑，分道扬镳好了。灵魂的连结，应该，也可以有无限种可能。从东亚母女这种畸形互害的关系模式里刑满释放吧，喊cut吧，叫停吧，“一切伤害控制只是为了爱”，是句建构了千百年的系统性谎言，绞杀了多少为人儿女的鲜活生命。坚持按自己心意生活的叛逆女儿，被妖魔化为大反派。母亲含辛茹苦，犹如西天取经的唐僧，万水千山走遍，踏上降服这只泼猴的苦旅，一路劈妖斩魔，尽管最终塑成金身，却仍执着要将猴儿镇在自己的五指山下听她念经，这份魔怔，居然总能假爱之名。爱不是问题，把不是爱的东西美化成爱才是问题。花哨外壳包装保守价值，连古典神话哪吒削肉还母剔骨还父都比它朋克。
霸王吃🍵3050岚,2,2022-03-27 17:35:30,这么多花活大可不必。
印子,1,2022-03-28 11:32:26,【3.5】我宣布以后看见所有美国华裔拍的亚裔题材影片我都得绕着走。真的完美踩中我的每一个雷区。有好的想法，但完全不懂节制，各种小聪明小幽默毫无节制一而再再而三地滥用，一个梗能给你反复玩十几二十次；再加上这片梗的密度本来就大，所以最后出来的结果就像是每隔两分钟就强迫你灌下一碗加入了世界上所有的调料的白开水，喝到你吐…再加上陈词滥调到令人翻白眼的揉杂美式价值观ABC式家庭戏码和令人眼花缭乱的糟糕美术，我真的…全程如坐针毡直想喊救命🆘欣赏不来，非常不🉑️
陀螺凡达可,2,2022-05-18 22:12:45,看得脑壳疼。翻了下两位导演前作，瑞士军刀男也打的两颗星哈哈哈，跟当时的问题一模一样，空有一个脑洞创意，拍法是近乎于广告式的天花乱坠，一堆乱七八糟的酷炫往你脸上砸。
二〇〇〇,2,2022-03-27 07:35:08,很长，用如坐针毡形容不为过，除了杨紫琼以外的所有角色毫无演技可言，情节乱七八糟，美式鸡汤虽迟但到，带着脑子进场结果人都不给你任何思考余地的，躺着被灌输就行了。这就是电影的未来吗？
我和我的小毛衣,1,2022-05-19 15:58:05,超级无敌难看，混乱，堆叠各种简单的造型人物设计，漫长，无聊又恶趣味的胡闹打斗。浅白的道理在后半段讲个不停，发泄这种虚无会让你得到一种认同跟满足感吗？然后又用爱跟生活去化解一切。家庭故事讲不好，老一辈思想开化讲不好，整两个多小时穿插一堆垃圾说这点家庭破事，女同性恋家庭认同，颜色饱和度高而且光线控制的极差，故意再加一层黑不溜秋的颜色快把我看瞎了，这俩导演以前是拍广告的吧？真正让我绝望的不是这个世界的虚无跟无意义，而是这个世界上充斥着一堆又一堆这样的shi很多人还吃的很香，这让我很绝望。
小老虎,2,2022-05-18 22:51:05,两个小时的视听煎熬，毒瘾致幻般花里胡哨，地铁老人样莫名其妙，喜看豆瓣大师们津津乐道
candycandy,1,2022-04-09 05:38:59,烂。两小时如坐针毡。一颗星都不想给
月亮也像,2,2022-05-19 15:18:49,挺恶心的片儿，太苍白了，无法想象大家是怎么共情的。那两块石头连bgm都没有的片段是全片最佳，因为安静。
涤纶,1,2022-05-11 10:35:29,生命无法承受之难看
🍄,2,2022-05-20 22:04:13,什么都有，像一滩酒鬼的呕吐物
某条街,2,2022-04-16 08:09:52,看得我好累……许多陈旧的、使用过度以至于廉价的要素堆叠，熬成了一锅大杂烩。这五分钟负责华裔生活，这两分钟负责报税勾起美国人情节，这两分钟负责交代多元宇宙设定，这三分钟负责讲亲子关系，这两分钟负责讲大尺度段子（买票进场怎么没人查我ID？），这三分钟负责《瑞克和莫蒂》式多元宇宙串台脑洞。剧情/科幻/无厘头/华裔/亲情/爱情/大尺度从四面八方，各加猛料，洒了两个小时鸡血，让人在电影院里觉得格外疲惫漫长。情节一路狂奔向多方和解大团圆，妈和女儿从来没有互相伤害的意愿，真是恭喜发财。只有石头的部分，能令人眼前一亮。
将心堂,2,2023-03-14 01:42:23,一部几乎可以称之为烂片的电影，居然七项奥斯卡？一个指鹿为马的时代。
大奇特(Grinch),2,2022-05-19 11:01:55,电影透过伊芙琳在各种平行宇宙中的多样性来玩花活，叙事和表演用力过猛。一直感觉这位导演重小细节创意不重大戏剧结构，对世界观的阐述对白和介绍文字过多，像在看中英文说明书，他还不具备积累足够戏剧张力和情绪烘托的能力。其长处是视觉层面有硬核的东西，有剪辑思维的观众可能会觉得新颖，导演的屎尿屁口味从《瑞士军刀男》延续下来，能抓住很多视觉high年轻观众。导演的作者表达和我同样不喜欢的《青春变形记》异曲同工，集中在东西方教育问题的碰撞，对西方观众进行了一番东方家庭价值观的巡礼，包括代际关系、取向观念和自我接纳等等。
飞骑斥候,2,2022-05-24 09:30:42,很少有这种越看越想放弃的电影，平行宇宙不是什么新鲜概念，里面每个人都很惊风，每隔五分钟就瞎打一通，有人说这是ta这辈子看过最好的电影，真想不通。。。
九苍,2,2022-04-29 06:27:11,看了个变种漫威/DC超英片“洗衣侠”。中间有挺长一段生理极度不适，把王家卫李安库布里克拼在一起后导致的燥狂症大爆发。
陈有为,1,2022-03-22 14:58:28,反复强调一下，本土华裔不是中国人，和国籍没关系，差异是身份和文化认同感。所以这类反映华裔的片子，我们看起来觉得无感、难受。
zidane,2,2022-05-23 02:55:28,2022年了，亚裔还在开洗衣店，女儿还在叛逆自私，男人还在一言不合就功夫，家庭三代还在烦恼代沟通矛盾，结局还在用爱感化一切。天马行空？ 包装和内核强烈的对比反而衬得主创团队是多么没有创意和脑洞！
肥宅拖延有救否,2,2022-07-07 15:12:00,耐着性子看了一个小时觉得很无趣，但是想着已经浪费了一个小时再坚持一下吧也许后面会有意想不到的惊喜呢？看到最后发现好吧我浪费了两个小时🥹😅
用户86521476,1,2022-05-19 01:03:39,"屎一样的美式政治正确，女同，肥胖，华裔，夹杂着恶俗的黄色段子，最后莫名其妙的爱与救赎。
感动？
抱歉。
可能只有香蕉人会感动，毕竟伟大的白人眼里终于有他们了。"
斯普特尼克恋人,2,2022-05-19 23:44:56,看完第一反应是今敏去世的太早了。。什么人都敢来霍霍一下
空白岸,1,2022-05-19 10:46:55,我不知道《瑞克和莫蒂》什么时候开了速成班，然后这货学的还是最无聊的那一部分。一直想说大部分“多元宇宙”电影的想象力其实都很贫瘠，它们首先在面对自身的时候就已经承认了自己的溃败，在这个基础上再“多”也只是单一“论据”的叠加。“多元宇宙”解决问题的思路其实是一种论文思路，好像“论据”多了自然就能证明出来什么。但是它没有勇气引用超出自己的“论据”——也即没有办法处理真正意义上的“多元”，也没有办法展现节奏性的时间，更没有办法思考自身，它只想要自己成为Everything，自己去到Everywhere，还要At Once！好自卑的电影啊。
广末凉茶,2,2022-05-19 20:53:07,我舍友说，在另一个平行宇宙，郭敬明导演拿了五次戛纳大奖。
夏,2,2023-03-13 12:40:25,？奥斯卡你没事吧
Raphael,2,2022-06-26 12:41:50,看似天马行空，实际花里胡哨，乱七八糟。故事稀碎，又臭又长。总结：浪费时间。
Kusa,1,2022-05-27 12:15:58,很多时候，豆瓣评分都是为了装逼。为了装与众不同，为了装逼格高。一部很不错的好片也总有大量装逼人士打低分。而一部烂片为了显示逼格高则有大量人打高分。这都是同一帮人。这部片子就是典型。看完了我只有一个概念：杨紫琼联合她的成龙老公处理她跟他们的女儿洪金宝之间的感情关系。
Nébuleuse,1,2022-05-24 13:49:13,恕我欣赏无能，简单来说就是：眼花缭乱，色彩缤纷的一顿窜稀。
等待戈多,1,2022-05-18 20:15:01,坚持了五十分钟依然看球不懂，聒噪程度堪比高铁上被一车厢外放抖音的乘客包围。被吹爆的脑洞大、多重宇宙是一点没看出来，论故事性被《蝴蝶效应》吊打，论脑洞也就勉强顶得上RM的一集。人物逻辑和表演甚至剪辑思路都和美漫如出一辙，那么问题来了，为什么不直接做动漫？纯脑洞玩不动了来个母女关系结束故事，试问开篇做成那样，谁能和人物共情？看着画面里的杨紫琼内心毫无波澜，脑子里只有一句话：真的吗？我不信。
你读不是特种兵,1,2022-05-22 19:59:10,看了5天才看完，豆瓣推出负一星吧，只有负一星才能治疗我看这片尬出的内伤，脚趾抓地把家里的地板都抓坏了
啊这2333,1,2023-03-13 16:22:34,你的奥斯卡的荒诞有一种zzzq的尬美，这种程度的无厘头甚至不如周星驰手中最次的作品。奥斯卡的评委是好片看多了看不出什么是大杂烩烂片吗？
企鹅博物馆,1,2022-05-19 00:23:58,我也很想让豆瓣回到不是任何一部模式化的动漫化的大数据化的垃圾都能被一窝蜂打五星推到9分的时候
布丁加冰,1,2022-12-15 00:46:09,抱歉。不能打负分真的好痛苦。
sound of silenc,1,2022-05-21 18:44:02,毕生之学也无法骂出心中所想
bbbbaai,1,2022-04-19 14:23:53,呵呵，我觉得很一般，被过誉了。港普中不中英不英，说话又快又含糊不清。弱鸡长得很像成龙大哥的声音很娘的丈夫。和税务婆婆香肠手指爆浆爱恋。母女拉扯情绪敏感随时爆炸无法沟通。花里胡哨莫名其妙爆菊甩丁丁吃桌下的口香糖骂脏话。画面莫名其妙混乱不堪恕我不能欣赏这种艺术表现。石头的场景和对话很妙，但是后面升华的母女羁绊实在让我脚趾抓地地铁老人看手机脸。不得不承认，对西式华裔服化道的审美，我觉得非常变扭和诡异。
夯亨,1,2022-05-24 14:33:26,这是电影？抖音刷多了智商都降到零了吗？
方枪枪,2,2022-05-18 21:37:30,看的如坐针毡，虽然有很多经典电影的致敬，但本身却是母女战争与和解主题下，借以多重宇宙的外衣，以及极度放飞自我的自嗨。
老孙,2,2022-05-18 22:47:25,披亚洲人的皮（全是刻板印象），讲一个老土的美式family故事，还搞一堆花里胡哨重点不明的噱头，味同嚼蜡还有点想吐。我觉得亚洲人应该更懂家庭关系羁绊的复杂性，而不是用一句love解决一切。另外，女儿的造型，可以直接去韩国女团里发展了。
芦哲峰,1,2022-05-21 11:44:43,乱糟糟，闹哄哄，一场游戏一场梦，两个石头两个蛋，扯吧。
哈比比,1,2022-05-19 06:09:58,你们看的时候真的不会产生生理不适吗？感受不到rh吗？
肥羊1号,2,2023-01-16 11:37:10,极度混乱，喜欢说教，刻意煽情！普通话粤语英语混在一句话里真是糟心。又有点像模仿周星驰后期作品，有有点王家卫的影子。总之搞成了四不像。女儿对母亲极大的恶意完全不明了，一家子感觉也很模糊。杨紫琼的演技普通，还是第一代移民的刻板印象，面具化。年初最差影片。
沁云,1,2022-05-30 05:57:28,一部令我的眼睛、耳朵和大脑都感觉受到过度刺激的电影。主流社会道德的鸡汤，似乎不被包装成这样一部充满声光电刺激的作品，就没法再灌入当今观众的缺乏长期注意力的头脑和几乎已在各种强刺激中麻木掉的视觉与听觉。与overwhelming至极的视听符号相对应的，则是极其贫乏且俗套的叙事能力，况且影片所采用的隐喻符号，常常都是恶俗并“审丑”式的。想知道用一个面包圈能如何讲好人生道理？建议编导可以看看Dr. Mark Epstein在《Trauma of Everyday Life》一书中是如何做到的。跟我一起去影院的女儿看得很开心很感动，但我真的很悲观也很感慨，因为这部电影和其他好莱坞大片一起代表着他们Gen-Z一代美国年轻人所面对的贫瘠而单向度的视觉文化。
深森,2,2022-05-22 16:36:58,已阅 狗屁不通
三分钟之内,2,2023-03-14 09:01:31,只有我半途而废吗  前半小时扑面而来的窒息混乱感和华人刻板印象  脑瓜子嗡嗡的
发条饺子,2,2022-05-20 23:01:53,花里胡哨的塑料感，让我想起儿时崇拜的金句大师贾志新说过的，我不管她本质怎么样，这现象我受不了。我管这种电影叫海王电影，搞得太多，却不负责。
宅蘑菇Moku,2,2022-05-23 11:57:13,"▫️本人，科幻+奇幻片重度爱好者+泪点极低，看了这部电影不喜欢也丝毫不感动…年度期待很高失望很深排名前3了。
▫️如果本片不把落脚点搞在假大空的夫妻感情和母女感情上，专注于多重宇宙，效果也许会稍稍好一点。落脚亲情的科幻很多，这套路本身没问题，但本片因为把所有时间都用于多重宇宙的炫技，我在任何一个宇宙里都看不到一点点这一家四口的亲情联系，只想让他们好聚好散赶紧拉倒，互相都是“没有你我过的更好”！！能打动人的亲情关系是要落在细微的生活里才能产生共鸣的，全片只靠最后一段假惺惺big words和两块PPT石头来说大家很相爱，对不起，不买账，这和我们熟悉的“这都是为你好，我很爱你啊！”没有区别！！
▫️至于本片的想象力，不错，但我个人也不喜欢那些生硬塞入其中的低俗段子。"
ice,1,2023-03-13 22:05:14,讲真看不下去。。。乱七八糟闹哄哄，还有不少恶俗辣眼的不适场景，核心也就是美国人眼中亚裔家庭的矛盾，完全无法共情。
Mona Lishark,2,2022-05-19 23:54:17,"这个故事中母女关系的部分我始终不能共情，这对母女没和解之前的状态，已经是很多母女努力尝试解决后的状态了。你都能和你妈出柜了，你已经赢了90%的女儿，我一个要饭的乞丐根本共情不到有钱人对食物的抱怨。

杨紫琼的角色也没有真的吃过苦，无论在哪个宇宙，都有人在精神和情感上支持她，就这一点她已经又跑赢了90%女性，她甚至都没有过真正的孤独。不知道，也许她有一些精神上的困扰吧，可以选择就医或找个正念教练。

这部电影根本也无从谈“美”，它的“美”像它本身一样充满了刻板印象。科幻的部分不值一提。"
磷火,2,2022-05-18 23:13:25,谢谢你浪费了我人生两个小时的点卡。
Qtn,2,2022-05-23 13:13:57,为什么融两个三个梗就是抄袭，融一百个梗就能成为wildly original modern masterpiece？不理解
王伟宁,1,2022-04-02 22:52:12,第一次看完电影想把票钱要回来
晚不安,2,2022-05-19 00:25:02,高概念、动作戏、迷影梗和恶趣味交相辉映，加上俩导天马行空的视觉想象力，至少是保证了一个蛮与众不同的观影体验。但本以为会从混乱的跳转中提炼出某种真挚的情感，结果只是纯粹满足于光怪陆离的形式变化。一会儿陷入nothing matters的虚无主义，一会儿又看到每种可能性中值得把握的美好，实在难以理解各种转折之间的衔接逻辑，无论母女关系还是夫妻关系的和解都显得莫名其妙。
刘羽茜,1,2022-04-30 20:05:18,清一水的好评真太诡异了，这绝不是普罗大众都喜欢的风格，我知道他们想表达什么，至于表达方式实在是来不动，几度想离场
醍醐灌饼,2,2022-05-19 02:26:11,内核或许是虚假的，但从戏剧角度上是可以的。问题是角色只是意象，忽略演员的存在，甚至无法对情景作出一点点有意义的回应，一切反应都是其他烂片的印象式拼贴，是唯编剧意志的，当然可以节奏很快，因为没有真实的速度。如果电影不能自我思考，就算看起来是原创的，也只是杂交乱伦的产物。
Divano,2,2022-05-29 23:30:10,建议不会讲故事的导演不要拍电影。我真的会谢。实在太怪了。导演更适合去拍mv 全是元素堆砌 啥都带上一点 啥都讲不好…说它元素设定新奇吧 内核又刻板腐朽 说无厘头吧 它又太认真到完全不好笑 想搞点禅意 但又完全点错穴位 太太太太怪了（（首先需要宇宙跳跃才知道人类是多么small&stupid就已经够stupid的了 就好像有人神神秘秘说告诉你个很特别的事 让你去洗个耳朵 洗完一听 原来说的是1+1=2
麻绳,2,2022-05-19 21:57:24,用天马行空的方式，讲了一个关于包容、理解和放手的故事，但对我来说，共情度为零。那些炫技式的剪辑，杂耍般的动作场面，还有直白的鸡汤台词，都像劣质冰激凌一样，似乎香气扑鼻，但口味廉价，毫无回味。
桃莫莫,2,2022-05-18 23:01:58,胡乱吹捧的电影，又长又臭，乱七八糟，前面不断的宇宙跳跃，各种闪回，特别是税务审查那段，闪来闪去让我头晕脑胀差点吐了，这真的是我看电影以来第一部感觉到生理不适的影片，佩服。还有影评中吹捧的创意，一看就是未经打磨，想到就写，所以处处显得简陋牵强又不够精致缺乏逻辑叠加，就像小孩子天马行空，胡思乱想一通的玩意，你管这种东西叫创意？
冰山的阴影,1,2022-05-19 15:54:46,非常蠢。简而言之就是把现实当中所有的不如意都归咎于假想出的邪恶势力，来替代自己过往每一个细微的选择犯下的错；同时再假想出N个平行时空里的自己，通过机械降神的方式拯救现实当中无力挽回的困局，顺带还拯救了全宇宙。这种中二的梦只有目中无人到一定境界的美国人才会做吧。还整得花里胡哨的美其名曰「天马行空」，真的是搞笑。Ps:看完去搜了导演执导的上一部作品，果然我也是给的一星，从此拉黑不送。
抗日奇侠楚子航,2,2022-05-28 19:11:25,像是导演编剧集体抽完大麻后整出来的一堆自以为很有想象力的东西，太混乱了，看得人很累，不喜欢低俗梗，讨厌刻板印象，厌倦了用爱感化世界的俗套结尾，get不到
goled,2,2022-05-29 00:06:42,大概是我近期看过最烂的片了吧
密斯赫,2,2022-05-19 12:00:00,一锅乱炖是如何被吹上天的
